cost_id,utility_id,city,state,public_side_band,private_side_band,full_replacement_band,cost_confidence,housing_type_assumption,permit_assumption,restoration_assumption,source_refs,last_verified,methodology_summary,owner_trigger_summary
dc-water-cost-2026,dc-water-dc,washington,dc,Public-side work is utility-managed when DC Water initiates or coordinates a full replacement,$7200 estimated FY 2024 private-side-only replacement cost,$21000 estimated FY 2024 full replacement cost including permitting traffic control paving and private-property restoration,medium,DC Water FY 2024 estimate based on contractor bids and restoration costs,DC Water estimate includes permitting fees and street traffic maintenance,DC Water estimate includes road paving and restoration of private property to pre-construction conditions,src-dc-cost|src-dc-full-program|src-dc-private-program,2026-04-04,DC Water publishes a utility-specific FY 2024 methodology page with separate private-side-only and full replacement estimates tied to bids permitting traffic control paving and private-property restoration.,Owners use the 100 percent assistance path when they qualify for Lead Pipe Replacement Assistance and otherwise face private-property cost in the voluntary full replacement path when no capital project is already scheduled.
denver-water-cost-2026,denver-water-co,denver,co,No direct charge to the customer when Denver Water replaces the line under the Lead Reduction Program or during water main work,$3800 one-time reimbursement for approved off-schedule replacements and the owner covers the remaining private-side cost,No direct charge under the main program but owner-managed early replacement uses the $3800 reimbursement path,low,Customer-owned lead service line in Denver Water's service area replaced through the utility program or approved reimbursement flow,Reimbursement cases must be approved in advance and cannot conflict with paving moratoriums,Owner-managed replacement scope varies when using the reimbursement option,src-denver-program|src-denver-reimbursement,2026-04-05,Denver does not publish a local homeowner bid range for early replacement and instead splits cost between the no-direct-charge utility-run Lead Reduction Program and a capped $3800 reimbursement path for approved off-schedule cases.,Owners avoid direct cost only when Denver Water schedules the address in the utility program or replaces the line during water-main work and otherwise move into an owner-managed contractor path with capped reimbursement.
milwaukee-water-works-cost-2026,milwaukee-water-works-wi,milwaukee,wi,Milwaukee Water Works pays the publicly owned section,$3999 average 2025 private-side cost in the Owner Request Program and the owner pays the lesser of actual cost or the average cost,For many required 1-4 unit non-commercial replacements the owner pays nothing and owner-request replacements require the owner to cover the private side,medium,Published owner-request assumptions for Milwaukee residential properties,Program selection and city scheduling determine when work can proceed,Actual contractor scope varies by property and Milwaukee cites an annual average rather than a fixed bid,src-milwaukee-owner-request|src-milwaukee-notification,2026-04-04,Milwaukee publishes a utility-specific owner-request methodology anchored to the 2025 average private-side cost and a separate no-cost path for required replacement cases that the city schedules.,Owners pay only in the owner-request path while required 1-4 unit non-commercial replacement cases can be city-funded and use a different notice and scheduling workflow.
saint-paul-cost-2026,saint-paul-regional-water-services-mn,saint-paul,mn,No direct charge to property owners under Lead Free SPRWS,No direct charge to property owners under Lead Free SPRWS,No direct charge when the property is eligible in the current replacement program,medium,SPRWS published no-cost replacement language for eligible addresses,SPRWS schedules work by construction area and eligibility,SPRWS coordinates replacement and restoration through the program,src-saint-paul-program|src-saint-paul-notification,2026-04-04,SPRWS ties the cost page to its Lead Free SPRWS 10-year replacement program and area-based scheduling so the route reflects funded eligibility rather than an owner quote or market bid.,Owners avoid direct cost only when the address enters the active Lead Free SPRWS workflow and the property is scheduled in an eligible construction area after the utility's outreach and intent process.
providence-water-cost-2026,providence-water-ri,providence,ri,Providence Water replaces the public side at no cost when the owner participates,Private side can be replaced for free in funded contracts or financed through a 10-year 0 percent loan,Full replacement can be free in funded contracts and otherwise uses the loan pathway,low,Providence Water published program options rather than a fixed bid range,Program timing depends on whether the address is in a planned contract,Restoration and final scope depend on the active contract or private-side loan project,src-providence-program|src-providence-loan,2026-04-05,Providence Water frames cost through two utility-specific paths rather than a single price: free replacement inside planned federally and state-funded contracts and a separate 10-year 0 percent loan path outside that queue.,Owners avoid direct cost only when the property is already inside Providence Water's funded contract schedule and otherwise must use the separate loan workflow to replace the private side before the utility replaces its portion.
philadelphia-water-cost-2026,philadelphia-water-department-pa,philadelphia,pa,No separate public-side utility share because service lines are customer-owned in Philadelphia,HELP can provide a zero-interest loan and selected verification participants may receive free replacement,Full replacement cost depends on the owner's contractor unless the property is in a free verification replacement path,low,Philadelphia publishes loan and selected free replacement pathways rather than citywide bid ranges,Owners must confirm lead status and meet HELP or verification rules,Restoration depends on the contractor or the limited PWD verification replacement scope,src-philadelphia-verification|src-philadelphia-help,2026-04-05,Philadelphia does not publish a citywide replacement price because service lines are customer-owned and instead splits cost between a limited free verification-replacement path and the zero-interest HELP loan for confirmed lead lines.,Owners avoid direct cost only if the property is selected for the limited Service Line Verification Program and otherwise remain responsible for choosing a contractor and using HELP or another owner-managed payment path.
pittsburgh-water-cost-2026,pittsburgh-water-pa,pittsburgh,pa,Public-side costs are handled through Pittsburgh Water replacement work when applicable,Private-side replacements may qualify for up to 100 percent reimbursement or a $1000 stipend based on income,Full replacement responsibility depends on the utility project trigger and reimbursement tier,low,Pittsburgh Water publishes reimbursement tiers rather than a universal replacement price,Owners must complete the work and submit reimbursement documentation,Actual restoration depends on the hired contractor and reimbursement path,src-pittsburgh-program|src-pittsburgh-notification,2026-04-05,Pittsburgh Water does not publish one citywide price and instead frames cost through income-based reimbursement tiers plus city-led replacement triggers such as neighborhood work and water-main projects.,Owners avoid direct cost only when Pittsburgh Water replaces the line through its residential replacement workflow and otherwise must complete the private replacement and submit reimbursement paperwork to recover part or all of the cost.
newark-water-cost-2026,newark-water-oh,newark,oh,City of Newark replaces from the main line to the meter free of charge,City of Newark says the service line replacement is free of charge to the homeowner through the current program,Full replacement from main to meter is free of charge in the current grant-funded program,medium,Newark's current program language applies to eligible noticed properties and signup flow,Eligibility depends on program notices and replacement map status,City-funded restoration of disturbed areas is included in the current program,src-newark-program|src-newark-notification,2026-04-04,Newark's current cost page is grounded in the city's grant-funded promise to replace the full line from the main to the meter and restore disturbed areas without charging the homeowner.,Owners avoid direct cost only when the property is in the city's current replacement workflow and the owner follows the notice and sign-up path instead of arranging a separate private replacement.
gcww-cost-2026,greater-cincinnati-water-works-oh,cincinnati,oh,GCWW says it pays 100 percent of replacement costs with participation in the program,GCWW says it pays 100 percent of replacement costs with participation in the program,GCWW says it pays 100 percent of all replacement costs for participating properties,medium,GCWW program language states full coverage rather than a bid range,Participation depends on GCWW program triggers and property eligibility,GCWW states restoration work is completed after replacement,src-gcww-program|src-gcww-notification,2026-04-04,GCWW does not publish a local bid range; it publishes a utility-run program where replacement and restoration costs are carried by GCWW for properties that enter the official participation workflow.,Owners avoid direct cost only when the address enters one of GCWW's replacement triggers such as child care facilities leaks water-main work elevated lead results or targeted-area prioritization.
madison-water-cost-2026,madison-water-utility-wi,madison,wi,No public-side cost is published because Madison reports no known utility-owned lead service lines,Up to $3000 rebate may be available if a property owner discovers lead service on private property,Full replacement cost is mostly owner-managed with rebate support rather than a published citywide price,low,Madison publishes rebate support but not current bid ranges,Owner must confirm lead service on private property and contact Madison Water,Contractor and restoration scope vary by private-property conditions,src-madison-program|src-madison-notification,2026-04-05,Madison does not have a citywide utility replacement price because it reports no known utility-owned lead service lines and instead offers a capped rebate only when a property owner discovers lead on private property.,Owners stay on an owner-managed path unless private lead is discovered and Madison Water confirms rebate eligibility so this route remains a rebate guide rather than a no-cost program page.
columbus-water-cost-2026,columbus-water-oh,columbus,oh,No direct charge during scheduled city replacement for eligible properties,No direct charge during scheduled city replacement and LEAP offers deferred repayment outside the scheduled path,Property owners may face a $6000-$10000 replacement cost if the city cannot replace under the scheduled program and no LEAP pathway is used,medium,City of Columbus program page publishes both scheduled no-cost replacement and owner-cost language with a citywide estimate range,Work agreement timing and program-area eligibility determine whether the city or owner bears the immediate cost,Columbus says scheduled work includes restoration of construction damage back to pre-replacement condition,src-columbus-cost|src-columbus-program|src-columbus-leap,2026-04-04,Columbus publishes both a local owner-cost range and a utility-specific no-cost scheduled replacement path so the page can show when the number applies and when it does not.,Owners pay only when the address is outside the active city replacement path or declines that schedule and then shift to LEAP or owner-managed replacement instead of the signed-work-agreement city path.
minneapolis-water-cost-2026,minneapolis-water-mn,minneapolis,mn,No direct charge to property owners in funded project areas,No direct charge to property owners in funded project areas,Full replacement is described as no cost to property owners where the city has identified eligible project areas,medium,City of Minneapolis replacement page publishes no-cost replacement language rather than bid ranges,Eligibility depends on the current project area and city outreach before work begins,City contractors perform the replacement and the city inspects the work with project-area restoration handled through the construction process,src-minneapolis-cost|src-minneapolis-program,2026-04-04,Minneapolis frames cost through funded project-area eligibility rather than bid ranges with state and federal funding covering contractor work for addresses the city has moved into active replacement areas.,Owners avoid direct cost when the city identifies the address in an eligible project area and outreach moves the property into the funded replacement queue instead of leaving the line owner-managed.
duluth-water-cost-2026,duluth-water-mn,duluth,mn,No direct charge in city-planned replacement projects,No direct charge in city-planned replacement projects,Full replacement is described as no cost to property owners in city-funded project areas,medium,Duluth publishes no-cost replacement language for planned projects instead of bid ranges,Eligibility depends on city project selection and a signed work agreement,Restoration is handled through the city-led construction project scope,src-duluth-cost|src-duluth-program,2026-04-04,Duluth ties the no-cost statement to funded city-planned replacement projects and explicitly disallows outside reimbursement so the page reflects project-funded eligibility rather than an open-ended market estimate.,Owners avoid direct cost only when the address is selected for a city-led project and the owner signs the work agreement before the replacement enters the construction schedule.
phoenix-water-cost-2026,phoenix-water-az,phoenix,az,City-managed replacement process covers the public side at no direct charge,City-managed replacement process covers the private side at no direct charge when replacement is required,Full water service line replacement from meter box to house connection is covered by the city at no cost when a lead or galvanized requiring replacement line is identified,medium,Phoenix publishes replacement-process coverage rather than a contractor bid range,Customers must sign a replacement contract after the city verifies the line and schedules work,The city says it restores disturbed areas after replacement as part of the replacement process,src-phoenix-cost|src-phoenix-program|src-phoenix-notification,2026-04-04,Phoenix publishes a utility-run full-line replacement process that covers verification contract signing replacement from the meter box to the house connection and disturbed-area restoration when a lead or galvanized line is identified.,Owners avoid direct cost only after Phoenix verifies the line sends the replacement contract and moves the property into the city's scheduled replacement workflow.
tucson-water-cost-2026,tucson-water-az,tucson,az,Tucson Water handles replacement at no cost when the service line requires replacement,Tucson Water says confirmed replacement is at no cost to the customer,Tucson Water describes replacement as no cost after inspection confirms the line requires replacement,medium,Tucson publishes no-cost replacement language tied to confirmed inspections rather than a bid range,Eligibility depends on inspection results and utility outreach,Scope and restoration are handled through Tucson Water's replacement process once replacement is confirmed,src-tucson-cost|src-tucson-program|src-tucson-notification,2026-04-04,Tucson ties the no-cost language to confirmed replacements after inspection rather than a standing bid range so the page reflects utility eligibility and managed scope instead of an owner quote.,Owners avoid direct cost only once Tucson confirms the service line requires replacement and the utility reaches out with the next-step workflow for scheduling and completion.
toledo-water-cost-2026,toledo-water-oh,toledo,oh,The city replaces the city side at no direct charge to the property owner,The city replaces identified customer-side lead service lines at no direct charge to the property owner,There is no direct charge to the property owner for replacement under the current Toledo program,medium,Toledo publishes no-cost full replacement language rather than a contractor bid range,The city schedules work through its lead line replacement program and advance notice letters,Contractors handle excavation and restoration as part of the replacement process,src-toledo-cost|src-toledo-program|src-toledo-notification,2026-04-04,Toledo anchors the cost page in a city-run replacement program funded through grants ARPA and state support with 45-day advance replacement letters rather than a homeowner quote model.,Owners avoid direct cost when Toledo identifies a lead line in the current program and moves the property through the city's scheduled replacement workflow instead of a separate owner-managed project.
kendallville-water-cost-2026,kendallville-water-in,kendallville,in,City-managed public-side replacement is completed at no additional cost under the phased Kendallville program,Participating customers pay no additional cost for replacement through the city program,Full replacement is described as no additional cost to the customer when the property participates in the city program,medium,Kendallville publishes city-program cost coverage rather than contractor bid ranges,Eligibility depends on annual notices phase-area selection and a signed right-of-entry form,Restoration and final scope are handled through the city-selected contractor process,src-kendallville-cost|src-kendallville-program|src-kendallville-notification,2026-04-05,Kendallville ties its cost language to a phased city program that started potholing in March 2026 and replacement work in April 2026 rather than to an owner-sourced contractor estimate.,Owners avoid direct cost only when the property is inside Kendallville's active program workflow and the owner returns the required participation and right-of-entry materials after the annual notice cycle.
lafayette-water-cost-2026,lafayette-water-in,lafayette,in,City-managed public-side work is covered under the Lafayette replacement program,No direct charge to customers for identified private-side replacements in active project areas,Full replacement is described as no direct charge to customers in the current Lafayette program phases,medium,Lafayette publishes program-funded replacement language instead of contractor bid ranges,Eligibility depends on identification letters project-area scheduling and signed right-of-entry forms,Restoration and post-replacement testing are handled through the city-coordinated contractor process,src-lafayette-cost|src-lafayette-program|src-lafayette-notification,2026-04-04,Lafayette ties its cost language to active project phases funded through grants and loans and to the city's posted 45-day construction notice and right-of-entry workflow rather than a citywide contractor quote.,Owners avoid direct cost only when the address is in an active Lafayette project area and the owner returns the required right-of-entry materials so the city-coordinated contractor can complete replacement.
bloomington-water-il-cost-2026,bloomington-water-il,bloomington,il,Public-side work is being funded through Bloomington's water capital program,The city anticipates customer-side replacement costs beginning in 2027 will be covered by rate increases with no additional cost to the owner,Full replacement is expected to be no additional cost under the current rate-funded plan but the city says final customer costs are not guaranteed,medium,Bloomington publishes a planned citywide funding approach rather than contractor bid ranges,Final customer responsibility depends on available funds and the block-by-block project schedule,Restoration and final scope will follow the city-managed construction process,src-bloomington-il-cost|src-bloomington-il-program|src-bloomington-il-notification,2026-04-05,Bloomington does not publish contractor bid ranges but it does publish a utility-specific rate-funded replacement plan where recent water rate increases are intended to cover block-by-block work beginning in 2027 while the city still keeps a caveat on final customer-side coverage.,Owners avoid direct cost only when Bloomington keeps the address inside the scheduled rate-funded city replacement path and available funds hold rather than leaving the property on an owner-managed private replacement outside the block program.
aurora-water-il-cost-2026,aurora-water-il,aurora,il,The city replaces public-side work at no cost when a qualifying lead line disturbance or city project occurs,Homeowners who replace their private segment outside the city-triggered path pay the contractor cost from the inside meter to the curb stop,Full replacement is no direct charge in city-triggered cases while owner-managed early replacement still requires private-side contractor cost,medium,Aurora publishes responsibility rules and no-cost triggers rather than contractor bid ranges,Eligibility depends on line material disturbance events elevated lead results or owner-requested replacement through the city portal,The city provides filtration and schedules its remaining segment within 30 days in owner-managed early replacements,src-aurora-cost|src-aurora-program|src-aurora-notification,2026-04-04,Aurora does not publish a citywide bid range but it does publish utility-specific trigger rules showing when the city covers both sides and when the owner still has a contractor obligation for early replacement.,Owners avoid private-side cost only when a qualifying city trigger applies and otherwise pay the private segment first if they initiate replacement before the city has a trigger to replace its side.
joliet-water-cost-2026,joliet-water-il,joliet,il,The city manages public-side work at no cost under the current program,Private-side work is replaced at no cost when a lead line qualifies through leak repair elevated testing or water main rehabilitation,Full replacement is no direct charge to the homeowner under the current Joliet program triggers,medium,Joliet publishes city-program eligibility and no-cost language rather than contractor bid ranges,Replacement eligibility depends on a qualifying disturbance elevated test result or scheduled rehabilitation work,The city also provides point-of-use pitchers at no cost for affected homes,src-joliet-cost|src-joliet-program|src-joliet-notification,2026-04-04,Joliet ties its cost route to explicit utility triggers such as leak repair elevated test results and water main rehabilitation rather than to a standing homeowner quote.,Owners avoid direct cost only when a Joliet trigger places the address into the current replacement workflow instead of leaving the owner to initiate replacement outside the city's qualifying paths.
evanston-water-cost-2026,evanston-water-il,evanston,il,The city replaces the public side at no cost in homeowner-initiated and annual project paths,The homeowner-initiated pilot offers a $2500 reimbursement and waived permit fees while annual project blocks receive full replacement at no additional cost,Full replacement is no direct charge when the property is directly impacted by the annual water main project and otherwise the pilot reduces but may not eliminate owner cost,medium,Evanston publishes program rules and reimbursement support rather than contractor bid ranges,Eligibility depends on project-area status or participation in the homeowner-initiated pilot process,City inspection scheduling permit waivers and restoration follow the city's coordinated replacement process,src-evanston-cost|src-evanston-program|src-evanston-notification,2026-04-04,Evanston's methodology is utility-specific because it separates annual project blocks that are fully city-funded from homeowner-initiated pilot cases that use a $2500 reimbursement plus waived permit fees.,Owners pay little or nothing in annual project areas but may still face a remaining private-side contractor bill when they choose the homeowner-initiated path before the city reaches the block.
grand-rapids-water-cost-2026,grand-rapids-water-mi,grand-rapids,mi,The city replaces the public side at no cost in all Grand Rapids program paths,Private-side work is no cost when a qualifying leak or city project triggers replacement and otherwise the voluntary path uses owner-paid private-side work with ten-pay financing,Full replacement is no direct charge in leak or city construction cases while the voluntary option spreads owner cost over ten years,medium,Grand Rapids publishes program responsibility and ten-pay rules rather than contractor bid amounts,Eligibility depends on a qualifying leak city construction schedule or voluntary ten-pay enrollment,City contractors restore program-triggered work and voluntary participants follow the Water Service Agreement process,src-grand-rapids-cost|src-grand-rapids-program|src-grand-rapids-notification,2026-04-05,Grand Rapids publishes a utility-specific split between no-cost leak or city-construction replacements and a voluntary ten-pay path so the cost route is grounded in local trigger rules rather than a generic no-cost promise.,Owners avoid direct cost only when a leak or city project makes the address eligible and otherwise shift into the voluntary Water Service Agreement path where the private side is financed over time.
fort-wayne-water-cost-2026,fort-wayne-water-in,fort-wayne,in,City Utilities coordinates utility-managed replacement at no direct charge during city grant-funded lead projects,Project-area homeowners can receive free replacement while owner-requested or out-of-area work may involve private-side contractor cost,Full replacement is no direct charge in grant-funded project areas and cost varies outside those target areas,medium,Fort Wayne publishes grant-funded lead replacement language rather than contractor bid ranges,Eligibility depends on the city's lead page survey project area and replacement scheduling,Restoration scope follows city contractor work and the city water quality team coordinates follow-up testing,src-fort-wayne-cost|src-fort-wayne-program|src-fort-wayne-notification,2026-04-04,Fort Wayne anchors cost in selected grant-funded neighborhood projects rather than a citywide quote and ties replacement coverage to the remove-lead program's area-based rollout and utility coordination.,Owners avoid direct cost only when the property is inside a funded Fort Wayne replacement area and the city schedules the work rather than leaving the owner to pursue an out-of-area contractor path.
racine-water-cost-2026,racine-water-wi,racine,wi,The city covers utility-owned work at no direct charge as part of the five-year replacement program,Most invited homeowners can have lead service lines replaced free of charge through the current Racine program,Full replacement is described as free of charge for most invited cases under the annual program,medium,Racine publishes program-funded replacement language rather than contractor bid amounts,Eligibility depends on dashboard records annual notices and city invitation rules,The city and contractors manage restoration through the replacement program,src-racine-cost|src-racine-program|src-racine-notification,2026-04-05,Racine ties cost to annual invitation-based replacement batches inside its multi-year city program rather than to an open homeowner quote model and says most invited homes can be completed for free.,Owners avoid direct cost only when Racine identifies the address through its records and invitation workflow and moves the property into the current city-managed replacement batch.
kalamazoo-water-cost-2026,kalamazoo-water-mi,kalamazoo,mi,The city funds public-side replacement work at no direct cost through its utility program,Qualifying lead service line replacements are provided at no direct charge to the customer,Full replacement is described as no direct cost to the customer under the current city program,medium,Kalamazoo publishes program funding and free testing language rather than contractor bid amounts,Eligibility depends on the utility lookup tool and active replacement scheduling,City contractors and utility staff handle restoration and post-replacement testing,src-kalamazoo-cost|src-kalamazoo-program|src-kalamazoo-notification,2026-04-05,Kalamazoo grounds its cost language in a city replacement program funded by utility rates state revolving fund support and foundation backing rather than in a resident-paid contractor estimate.,Owners avoid direct cost only when the lookup and city scheduling process confirms the service line for the current replacement workflow instead of leaving the property in testing-only interim support.
mud-omaha-water-cost-2026,mud-omaha-ne,omaha,ne,Utility-managed district work is handled within M.U.D.'s replacement program,Customer-owned lead service lines are replaced free of charge and the district notes an average replacement value around $8000,Full replacement is no direct charge under the program for eligible lead service lines,medium,M.U.D. publishes free program language and an average replacement value rather than contractor bid ranges,Eligibility depends on a lead service line and the district's neighborhood rollout schedule,Contractors and post-replacement flushing testing and filtered pitcher support are coordinated through the district program,src-mud-omaha-cost|src-mud-omaha-program|src-mud-omaha-notification,2026-04-04,M.U.D. publishes an Omaha-specific program page that combines a free replacement promise with an average replacement value of about $8000 so the cost route can anchor its no-cost language in a local number.,Owners do not pay when the district confirms an eligible lead service line and schedules the work through the neighborhood rollout rather than a separate owner-managed contractor path.
iowa-american-water-cost-2026,iowa-american-water-ia,davenport,ia,The utility manages public-side replacement at no direct charge through its ongoing lead service line program,Customer-owned lead and galvanized lines are being replaced at no direct cost to the customer,Full replacement is described as no direct cost under the current Iowa American Water program,medium,Iowa American Water publishes no-direct-cost program language and replacement progress rather than contractor bid ranges,Eligibility depends on lead galvanized or unknown status identified through the map notices and ongoing replacement schedule,The utility coordinates outreach identification and replacement sequencing with customers,src-iowa-amwater-cost|src-iowa-amwater-program|src-iowa-amwater-notification,2026-04-04,Iowa American Water ties the cost page to its ongoing utility-run program and public progress update rather than to a contractor bid sheet and reports about 1300 completed customer-owned replacements by November 2024.,Owners avoid direct cost only when Iowa American Water identifies the address through the map notice or self-report workflow and moves the property into the active replacement schedule.
iowa-city-water-cost-2026,iowa-city-water-ia,iowa-city,ia,The city maintains the utility-owned portion to the meter and verifies eligible lead service line work under its lead reduction program,Owners hire the contractor and the city offers cost-share reimbursement for eligible lead service line replacement work,Service line repairs generally cost thousands of dollars and can reach tens of thousands in complex locations while city reimbursement reduces owner cost in eligible cases,low,Iowa City publishes reimbursement and broad cost language instead of contractor bid ranges,Eligibility depends on lead or suspected lead service status city verification and reimbursement paperwork,Permits contractor coordination and restoration vary by site and remain owner-managed before reimbursement review,src-iowa-city-cost|src-iowa-city-program|src-iowa-city-notification,2026-04-05,Iowa City does not publish a fixed local replacement price and instead explains that service line repairs can range from thousands to tens of thousands while the city reimburses part of eligible owner-managed work.,Owners remain responsible for hiring the contractor and telling the contractor about the city's cost-share program before work begins so reimbursement can be reviewed after the city verifies eligibility.
jackson-water-cost-2026,jackson-water-mi,jackson,mi,The city coordinates public-side work at no direct cost through DWSRF-funded projects city crews and street reconstruction,Eligible homeowners can have private-side lead service lines replaced at no cost under the current Jackson program,Full replacement is described as no cost to the homeowner when the city schedules or approves the work,medium,Jackson publishes no-cost replacement language and funding sources rather than contractor bid ranges,Eligibility depends on city sign-up approval or replacement scheduling in the resident's area,The city and its contractors handle restoration and final connections after replacement,src-jackson-cost|src-jackson-program|src-jackson-notification,2026-04-05,Jackson ties the cost page to a city-run replacement program funded through DWSRF loans local revenue and grants with early sign-up and scheduled neighborhood work instead of a market-price estimate.,Owners avoid direct cost only when Jackson approves the address for the current no-cost program or schedules the work in the property's area after letters calls emails and door notices.
flint-water-cost-2026,flint-water-mi,flint,mi,The city manages public-side work at no direct cost through the Flint replacement program and infrastructure projects,Residential non-copper and lead service lines are replaced at no cost to the resident under the current program,Full replacement is described as no cost to residents through the current Flint program,medium,Flint publishes no-cost program language and project progress rather than contractor bid ranges,Eligibility depends on consent form submission and scheduling through the city replacement program,The city provides restoration flushing instructions and filter guidance after the work,src-flint-cost|src-flint-program|src-flint-notification,2026-04-05,Flint anchors the cost route in its citywide no-cost replacement program and published progress updates rather than in homeowner bids and keeps the workflow tied to consent forms inspections and scheduled crews.,Owners avoid direct cost only when Flint receives the consent form or opt-in request and moves the property into the remaining inspection and replacement workflow for lead or galvanized lines.
missouri-american-water-cost-2026,missouri-american-water-mo,st-louis,mo,Utility-managed company-owned work is covered as part of Missouri American Water's replacement program,Verified lead or galvanized customer-owned service lines are replaced at no direct charge under the current program,Full replacement is described as no direct charge when the service line is verified as lead or galvanized and scheduled with Missouri American Water,medium,Missouri American Water publishes explicit no-direct-cost replacement language instead of contractor bid ranges,Eligibility depends on self-report or inspection confirming lead or galvanized material and utility scheduling,The utility coordinates inspections and replacement work through its program rather than owner-managed contractor bids,src-mo-amwater-cost|src-mo-amwater-program|src-mo-amwater-notification,2026-04-04,Missouri American Water publishes a utility-specific FAQ and program path that ties no-direct-cost replacement to verified lead or galvanized service material rather than a generic statewide estimate.,Owners avoid private-side cost only after the utility verifies lead or galvanized material through self-report or inspection and places the address into the current Missouri American Water replacement workflow.
ames-water-cost-2026,ames-water-ia,ames,ia,The city replaces service lines during eligible water main projects or other city construction triggers,Homeowners own the water service line to the meter and should confirm replacement cost with local contractors when work is not part of a city project,No official local bid range is published and owner cost depends on whether the work is tied to a city main project or a private replacement,low,Ames publishes responsibility rules and project triggers rather than contractor bid ranges,Eligibility for city-managed replacement depends on the current water main project and service line verification,Restoration and final scope vary by site and by whether the work is private or coordinated with a city project,src-ames-cost|src-ames-inventory|src-ames-notification,2026-04-05,Ames does not publish a local replacement price and instead explains responsibility rules: the homeowner owns the line to the meter unless the replacement is folded into a city water-main or related construction project.,Owners avoid direct cost only when Ames coordinates the line inside a current city project and otherwise stay on a private contractor path with site-specific pricing and restoration.
